filename	sample_id	run	sex	date	FieldID1	basin	detailed_location	lat	lon	length	tissue_type
OkeAC20COOR_0001_CAAATT_AAACGG_S1_R1_001.fastq.gz	OkeAC20COOR_0001	Run_020	M	2016-10-15T00:00:00Z	98	Coos	Coos River	43.360758	-124.167729	NA	fresh
OkeAC20COOR_0002_CAAATT_ACTCTT_S2_R1_001.fastq.gz	OkeAC20COOR_0002	Run_020	M	2020-11-23T00:00:00Z	99	Coos	Coos River	43.360758	-124.167729	NA	fresh
OkeAC20COOR_0003_CTGATA_GGCAAG_S206_R1_001.fastq.gz	OkeAC20COOR_0003	Run_020	F	2020-11-18T00:00:00Z	100	Coos	Coos River	43.360758	-124.167729	NA	fresh
OkeCC13MILC_2593_CTGATA_ACTCTT_S194_R1_001.fastq.gz	OkeCC13MILC_2593	Run_020	F	2013-11-27T00:00:00Z	82593	Yaquina	Mill Creek	44.6193	-124.060983	52	scale
OkeCC13MILC_3544_CTGATA_ATTCCG_S195_R1_001.fastq.gz	OkeCC13MILC_3544	Run_020	F	2013-12-04T00:00:00Z	83544	Yaquina	Mill Creek	44.6193	-124.060983	58.5	scale
OkeCC13MILC_3650_CTGATA_CGAGGC_S196_R1_001.fastq.gz	OkeCC13MILC_3650	Run_020	M	2013-11-27T00:00:00Z	83650	Yaquina	Mill Creek	44.6193	-124.060983	57	scale
OkeCC13MILC_5458_CTGATA_GAAATG_S197_R1_001.fastq.gz	OkeCC13MILC_5458	Run_020	M	2013-11-27T00:00:00Z	65458	Yaquina	Mill Creek	44.6193	-124.060983	63	scale
OkeCC13MILC_6320_CTGATA_GGACTT_S198_R1_001.fastq.gz	OkeCC13MILC_6320	Run_020	F	2013-12-04T00:00:00Z	76320	Yaquina	Mill Creek	44.6193	-124.060983	61	scale
OkeCC13MILC_7040_CTGATA_TAAGCT_S199_R1_001.fastq.gz	OkeCC13MILC_7040	Run_020	F	2013-11-27T00:00:00Z	87040	Yaquina	Mill Creek	44.6193	-124.060983	49	scale
OkeCC13MILC_7044_CTGATA_TCTTCT_S200_R1_001.fastq.gz	OkeCC13MILC_7044	Run_020	F	2013-11-27T00:00:00Z	87044	Yaquina	Mill Creek	44.6193	-124.060983	52	scale
OkeCC13MILC_8573_CTGATA_AACGTT_S201_R1_001.fastq.gz	OkeCC13MILC_8573	Run_020	F	2013-12-04T00:00:00Z	68573	Yaquina	Mill Creek	44.6193	-124.060983	58.5	scale
OkeCC13MILC_9026_CTGATA_ACTGGC_S202_R1_001.fastq.gz	OkeCC13MILC_9026	Run_020	M	2013-12-04T00:00:00Z	89026	Yaquina	Mill Creek	44.6193	-124.060983	50.5	scale
OkeCC13MILC_9943_CTGATA_CAAAAA_S203_R1_001.fastq.gz	OkeCC13MILC_9943	Run_020	M	2013-11-27T00:00:00Z	79943	Yaquina	Mill Creek	44.6193	-124.060983	66	scale
OkeCC19MILC_0001_CAAACC_GCTCAA_S189_R1_001.fastq.gz	OkeCC19MILC_0001	Run_020	F	2019-12-10T00:00:00Z	2019 YAQ 1	Yaquina	Mill Creek	44.6193	-124.060983	59	fresh
OkeCC19MILC_0002_CTGATA_TAATTC_S207_R1_001.fastq.gz	OkeCC19MILC_0002	Run_020	F	2019-12-10T00:00:00Z	2019 YAQ 2	Yaquina	Mill Creek	44.6193	-124.060983	58	fresh
OkeCC19MILC_0003_CTGATA_TGAACC_S208_R1_001.fastq.gz	OkeCC19MILC_0003	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 3	Yaquina	Mill Creek	44.6193	-124.060983	58.5	fresh
OkeCC19MILC_0004_r1.fq.gz	OkeCC19MILC_0004	Run_017	F	2019-12-03T00:00:00Z	2019 YAQ 4	Yaquina	Mill Creek	44.6193	-124.060983	60.5	fresh
OkeCC19MILC_0005_CAAATT_GGACTT_S6_R1_001.fastq.gz	OkeCC19MILC_0005	Run_020	F	2019-12-03T00:00:00Z	2019 YAQ 5	Yaquina	Mill Creek	44.6193	-124.060983	61	fresh
OkeCC19MILC_0006_CAAATT_TAAGCT_S7_R1_001.fastq.gz	OkeCC19MILC_0006	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 6	Yaquina	Mill Creek	44.6193	-124.060983	60	fresh
OkeCC19MILC_0007_r1.fq.gz	OkeCC19MILC_0007	Run_017	F	2019-12-03T00:00:00Z	2019 YAQ 7	Yaquina	Mill Creek	44.6193	-124.060983	54	fresh
OkeCC19MILC_0008_CAAATT_TCTTCT_S8_R1_001.fastq.gz	OkeCC19MILC_0008	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 8	Yaquina	Mill Creek	44.6193	-124.060983	55	fresh
OkeCC19MILC_0009_CAAATT_AACGTT_S9_R1_001.fastq.gz	OkeCC19MILC_0009	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 9	Yaquina	Mill Creek	44.6193	-124.060983	55	fresh
OkeCC19MILC_0010_r1.fq.gz	OkeCC19MILC_0010	Run_017	M	2019-12-03T00:00:00Z	2019 YAQ 10	Yaquina	Mill Creek	44.6193	-124.060983	55.5	fresh
OkeCC19MILC_0011_CAAATT_ACTGGC_S10_R1_001.fastq.gz	OkeCC19MILC_0011	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 11	Yaquina	Mill Creek	44.6193	-124.060983	60.5	fresh
OkeCC19MILC_0012_CAAATT_CAAAAA_S11_R1_001.fastq.gz	OkeCC19MILC_0012	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 12	Yaquina	Mill Creek	44.6193	-124.060983	55	fresh
OkeCC19MILC_0013_r1.fq.gz	OkeCC19MILC_0013	Run_017	M	2019-12-03T00:00:00Z	2019 YAQ 13	Yaquina	Mill Creek	44.6193	-124.060983	49.5	fresh
OkeCC19MILC_0014_CAAATT_CGCAGA_S12_R1_001.fastq.gz	OkeCC19MILC_0014	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 14	Yaquina	Mill Creek	44.6193	-124.060983	58	fresh
OkeCC19MILC_0015_CAAATT_GAACCA_S13_R1_001.fastq.gz	OkeCC19MILC_0015	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 15	Yaquina	Mill Creek	44.6193	-124.060983	62	fresh
OkeCC19MILC_0016_r1.fq.gz	OkeCC19MILC_0016	Run_017	F	2019-12-03T00:00:00Z	2019 YAQ 16	Yaquina	Mill Creek	44.6193	-124.060983	61.5	fresh
OkeCC19MILC_0017_CAAATT_GGCAAG_S14_R1_001.fastq.gz	OkeCC19MILC_0017	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 17	Yaquina	Mill Creek	44.6193	-124.060983	60.5	fresh
OkeCC19MILC_0018_CAAATT_TAATTC_S15_R1_001.fastq.gz	OkeCC19MILC_0018	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 18	Yaquina	Mill Creek	44.6193	-124.060983	53.5	fresh
OkeCC19MILC_0019_r1.fq.gz	OkeCC19MILC_0019	Run_017	F	2019-12-03T00:00:00Z	2019 YAQ 19	Yaquina	Mill Creek	44.6193	-124.060983	54	fresh
OkeCC19MILC_0020_CAAATT_TGAACC_S16_R1_001.fastq.gz	OkeCC19MILC_0020	Run_020	F	2019-12-03T00:00:00Z	2019 YAQ 20	Yaquina	Mill Creek	44.6193	-124.060983	51	fresh
OkeCC19MILC_0021_CTGATA_AACTGA_S209_R1_001.fastq.gz	OkeCC19MILC_0021	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 21	Yaquina	Mill Creek	44.6193	-124.060983	59.5	fresh
OkeCC19MILC_0022_r1.fq.gz	OkeCC19MILC_0022	Run_017	M	2019-12-03T00:00:00Z	2019 YAQ 22	Yaquina	Mill Creek	44.6193	-124.060983	61.5	fresh
OkeCC19MILC_0023_CTGATA_AGCCAT_S210_R1_001.fastq.gz	OkeCC19MILC_0023	Run_020	F	2019-12-03T00:00:00Z	2019 YAQ 23	Yaquina	Mill Creek	44.6193	-124.060983	61	fresh
OkeCC19MILC_0024_CAAATT_CAATCG_S19_R1_001.fastq.gz	OkeCC19MILC_0024	Run_020	M	2019-12-03T00:00:00Z	2019 YAQ 24	Yaquina	Mill Creek	44.6193	-124.060983	58	fresh
OkeCC19MILC_0025_r1.fq.gz	OkeCC19MILC_0025	Run_017	F	2019-12-03T00:00:00Z	2019 YAQ 25	Yaquina	Mill Creek	44.6193	-124.060983	58	fresh
