pop	clust1	clust2
Coos	0.9835	0.0165
Coos	0.9002	0.0998
Coos	0.9136	0.0864
Yaquina	0.0232	0.9768
Yaquina	0.0091	0.9909
Yaquina	0.0257	0.9743
Yaquina	0.0207	0.9793
Yaquina	0.0241	0.9759
Yaquina	0.0364	0.9636
Yaquina	0.0459	0.9541
Yaquina	0.0447	0.9553
Yaquina	0.0836	0.9164
Yaquina	0.9780	0.0220
Yaquina	0.0870	0.9130
Yaquina	0.0297	0.9703
Yaquina	0.0108	0.9892
Yaquina	0.0939	0.9061
Yaquina	0.0143	0.9857
Yaquina	0.0203	0.9797
Yaquina	0.0721	0.9279
Yaquina	0.0263	0.9737
Yaquina	0.0436	0.9564
Yaquina	0.2339	0.7661
Yaquina	0.0147	0.9853
Yaquina	0.0439	0.9561
Yaquina	0.0350	0.9650
Yaquina	0.0364	0.9636
Yaquina	0.1411	0.8589
Yaquina	0.0708	0.9292
Yaquina	0.6316	0.3684
Yaquina	0.0430	0.9570
Yaquina	0.0195	0.9805
Yaquina	0.2136	0.7864
Yaquina	0.0311	0.9689
Yaquina	0.0353	0.9647
Yaquina	0.0116	0.9884
Yaquina	0.0306	0.9694
Yaquina	0.5503	0.4497
Yaquina	0.0177	0.9823
Yaquina	0.0188	0.9812
Yaquina	0.0364	0.9636
Yaquina	0.0917	0.9083
Yaquina	0.0237	0.9763
Yaquina	0.0197	0.9803
Yaquina	0.0166	0.9834
Yaquina	0.0561	0.9439
Yaquina	0.0205	0.9795
Yaquina	0.0173	0.9827
Yaquina	0.5688	0.4312
Yaquina	0.0358	0.9642
Yaquina	0.0418	0.9582
Yaquina	0.0459	0.9541
Yaquina	0.1253	0.8747
Yaquina	0.0139	0.9861
Yaquina	0.5056	0.4944
Yaquina	0.1897	0.8103
Yaquina	0.6693	0.3307
Yaquina	0.0380	0.9620
Yaquina	0.0161	0.9839
Yaquina	0.0197	0.9803
Yaquina	0.1419	0.8581
Yaquina	0.0117	0.9883
Yaquina	0.0305	0.9695
Yaquina	0.0291	0.9709
Yaquina	0.2933	0.7067
Yaquina	0.0242	0.9758
Yaquina	0.0341	0.9659
Yaquina	0.0217	0.9783
Yaquina	0.0545	0.9455
Yaquina	0.0155	0.9845
Nehalem	0.8899	0.1101
Nehalem	0.9892	0.0108
Nehalem	0.9848	0.0152
Nehalem	0.8983	0.1017
Nehalem	0.9331	0.0669
Nehalem	0.9751	0.0249
Nehalem	0.9771	0.0229
Nehalem	0.9413	0.0587
Nehalem	0.9111	0.0889
Nehalem	0.9838	0.0162
Nehalem	0.9339	0.0661
Nehalem	0.3170	0.6830
Nehalem	0.8102	0.1898
Nehalem	0.9702	0.0298
Nehalem	0.7640	0.2360
Nehalem	0.9510	0.0490
Nehalem	0.9808	0.0192
Nehalem	0.8649	0.1351
Nehalem	0.8872	0.1128
Nehalem	0.9761	0.0239
Nehalem	0.9179	0.0821
Nehalem	0.9463	0.0537
Nehalem	0.7316	0.2684
Nehalem	0.8664	0.1336
Nehalem	0.9399	0.0601
Nehalem	0.9710	0.0290
Nehalem	0.9886	0.0114
Nehalem	0.5396	0.4604
Nehalem	0.8619	0.1381
Nehalem	0.9806	0.0194
Nehalem	0.9505	0.0495
Nehalem	0.9453	0.0547
Nehalem	0.9607	0.0393
Nehalem	0.9198	0.0802
Nehalem	0.9600	0.0400
Nehalem	0.9456	0.0544
Nehalem	0.9106	0.0894
Nehalem	0.9863	0.0137
Nehalem	0.3344	0.6656
Nehalem	0.9530	0.0470
Nehalem	0.9206	0.0794
Nehalem	0.6947	0.3053
Nehalem	0.9416	0.0584
Nehalem	0.9685	0.0315
Nehalem	0.8571	0.1429
Nehalem	0.9666	0.0334
Nehalem	0.9079	0.0921
Nehalem	0.9729	0.0271
Nehalem	0.9438	0.0562
Netarts	0.9217	0.0783
Netarts	0.9697	0.0303
Netarts	0.9316	0.0684
Netarts	0.9534	0.0466
Netarts	0.8638	0.1362
Netarts	0.9630	0.0370
Netarts	0.2509	0.7491
Netarts	0.9052	0.0948
Netarts	0.9599	0.0401
Netarts	0.9770	0.0230
Netarts	0.9891	0.0109
Netarts	0.9763	0.0237
Netarts	0.9608	0.0392
Siletz	0.0465	0.9535
Siletz	0.9693	0.0307
Siletz	0.0545	0.9455
Tillamook	0.9730	0.0270
Tillamook	0.9905	0.0095
Tillamook	0.9846	0.0154
Tillamook	0.9864	0.0136
Tillamook	0.9778	0.0222
Tillamook	0.9635	0.0365
Tillamook	0.9684	0.0316
Tillamook	0.9439	0.0561
Tillamook	0.9245	0.0755
Tillamook	0.8946	0.1054
Tillamook	0.6977	0.3023
Tillamook	0.9033	0.0967
Tillamook	0.9441	0.0559
Tillamook	0.9399	0.0601
Tillamook	0.8217	0.1783
Tillamook	0.9818	0.0182
Tillamook	0.8103	0.1897
Tillamook	0.9851	0.0149
Tillamook	0.9757	0.0243
Tillamook	0.9814	0.0186
Tillamook	0.9742	0.0258
Tillamook	0.9746	0.0254
Tillamook	0.9210	0.0790
Tillamook	0.9636	0.0364
Tillamook	0.9718	0.0282
Tillamook	0.9842	0.0158
Tillamook	0.9575	0.0425
Tillamook	0.9209	0.0791
Tillamook	0.6993	0.3007
Tillamook	0.9376	0.0624
Tillamook	0.8761	0.1239
Tillamook	0.9379	0.0621
Tillamook	0.9346	0.0654
Tillamook	0.9886	0.0114
Tillamook	0.9704	0.0296
Tillamook	0.9654	0.0346
Tillamook	0.9749	0.0251
Tillamook	0.9739	0.0261
Tillamook	0.9585	0.0415
Tillamook	0.9771	0.0229
Tillamook	0.9203	0.0797
Tillamook	0.9285	0.0715
Tillamook	0.9694	0.0306
Tillamook	0.8686	0.1314
Tillamook	0.9733	0.0267
Tillamook	0.9569	0.0431
Tillamook	0.9169	0.0831
Tillamook	0.9757	0.0243
Tillamook	0.9546	0.0454
Tillamook	0.8371	0.1629
Tillamook	0.1069	0.8931
Tillamook	0.9740	0.0260
Tillamook	0.9829	0.0171
Tillamook	0.9592	0.0408
Tillamook	0.9879	0.0121
Tillamook	0.9598	0.0402
Tillamook	0.8802	0.1198
Tillamook	0.9810	0.0190
Tillamook	0.9483	0.0517
Tillamook	0.8688	0.1312
Tillamook	0.7662	0.2338
Tillamook	0.9343	0.0657
Tillamook	0.9465	0.0535
Tillamook	0.9847	0.0153
Tillamook	0.3227	0.6773
Tillamook	0.9666	0.0334
Tillamook	0.8409	0.1591
Tillamook	0.9050	0.0950
Tillamook	0.9374	0.0626
Tillamook	0.9580	0.0420
Tillamook	0.8397	0.1603
Tillamook	0.9041	0.0959
Tillamook	0.9846	0.0154
Tillamook	0.9798	0.0202
Tillamook	0.9430	0.0570
Tillamook	0.9769	0.0231
Tillamook	0.9080	0.0920
Tillamook	0.9526	0.0474
Tillamook	0.9514	0.0486
Tillamook	0.9747	0.0253
Tillamook	0.6583	0.3417
Tillamook	0.9736	0.0264
Tillamook	0.9834	0.0166
Tillamook	0.9746	0.0254
Tillamook	0.8323	0.1677
Tillamook	0.9364	0.0636
Tillamook	0.9675	0.0325
Tillamook	0.8969	0.1031
Tillamook	0.9744	0.0256
Tillamook	0.9548	0.0452
Tillamook	0.6958	0.3042
Yaquina	0.0417	0.9583
Yaquina	0.0130	0.9870
Yaquina	0.0395	0.9605
Yaquina	0.0530	0.9470
Yaquina	0.0334	0.9666
Yaquina	0.0114	0.9886
Yaquina	0.1952	0.8048
Yaquina	0.0074	0.9926
Yaquina	0.1020	0.8980
