pop	clust1	clust2	clust3
Coos	0.1591	0.0100	0.8309
Coos	0.2255	0.1721	0.6024
Coos	0.2219	0.0521	0.7260
Yaquina	0.0663	0.8200	0.1137
Yaquina	0.4746	0.0169	0.5085
Yaquina	0.0603	0.8199	0.1199
Yaquina	0.0246	0.9477	0.0277
Yaquina	0.0094	0.9806	0.0100
Yaquina	0.0714	0.8712	0.0574
Yaquina	0.0120	0.9731	0.0149
Yaquina	0.0156	0.9604	0.0240
Yaquina	0.0476	0.8860	0.0664
Yaquina	0.0223	0.9560	0.0217
Yaquina	0.0396	0.9169	0.0436
Yaquina	0.1355	0.6679	0.1966
Yaquina	0.0150	0.9696	0.0154
Yaquina	0.0650	0.8720	0.0630
Yaquina	0.0282	0.9450	0.0269
Yaquina	0.0266	0.9374	0.0360
Yaquina	0.0969	0.7402	0.1629
Yaquina	0.0449	0.8934	0.0617
Yaquina	0.3004	0.2659	0.4337
Yaquina	0.0206	0.9316	0.0479
Yaquina	0.0116	0.9734	0.0150
Yaquina	0.1340	0.6780	0.1880
Yaquina	0.0251	0.9477	0.0271
Yaquina	0.0367	0.9162	0.0470
Yaquina	0.0096	0.9790	0.0114
Yaquina	0.0339	0.9284	0.0377
Yaquina	0.4554	0.3455	0.1991
Yaquina	0.0140	0.9706	0.0154
Yaquina	0.0173	0.9583	0.0244
Yaquina	0.0297	0.9406	0.0297
Yaquina	0.0759	0.8125	0.1116
Yaquina	0.0213	0.9497	0.0290
Yaquina	0.0169	0.9686	0.0146
Yaquina	0.0153	0.9691	0.0156
Yaquina	0.0479	0.9061	0.0460
Yaquina	0.0190	0.9654	0.0156
Yaquina	0.0144	0.9684	0.0171
Yaquina	0.2149	0.4426	0.3426
Yaquina	0.0229	0.9507	0.0264
Yaquina	0.0527	0.8837	0.0636
Yaquina	0.0364	0.8977	0.0658
Yaquina	0.0719	0.8347	0.0934
Yaquina	0.0116	0.9733	0.0151
Yaquina	0.2478	0.3129	0.4393
Yaquina	0.1050	0.6640	0.2311
Yaquina	0.5345	0.2444	0.2211
Yaquina	0.0360	0.9079	0.0561
Yaquina	0.0139	0.9703	0.0159
Yaquina	0.0209	0.9571	0.0220
Yaquina	0.1905	0.6448	0.1647
Yaquina	0.0099	0.9806	0.0096
Yaquina	0.0257	0.9504	0.0239
Yaquina	0.0301	0.9253	0.0446
Yaquina	0.2854	0.4486	0.2660
Yaquina	0.0220	0.9547	0.0233
Yaquina	0.0323	0.9359	0.0319
Yaquina	0.0171	0.9656	0.0173
Yaquina	0.0431	0.8810	0.0759
Yaquina	0.0124	0.9743	0.0133
Nehalem	0.2592	0.0596	0.6812
Nehalem	0.6882	0.0091	0.3027
Nehalem	0.5297	0.0137	0.4566
Nehalem	0.1358	0.0784	0.7857
Nehalem	0.4332	0.0504	0.5164
Nehalem	0.7290	0.0200	0.2510
Nehalem	0.7876	0.0166	0.1958
Nehalem	0.7721	0.0471	0.1807
Nehalem	0.5740	0.0817	0.3442
Nehalem	0.6253	0.0124	0.3622
Nehalem	0.3193	0.0426	0.6381
Nehalem	0.1303	0.4566	0.4131
Nehalem	0.5248	0.1535	0.3217
Nehalem	0.3338	0.0226	0.6437
Nehalem	0.6773	0.1003	0.2223
Nehalem	0.7040	0.0321	0.2639
Nehalem	0.6037	0.0123	0.3840
Nehalem	0.5039	0.0946	0.4015
Nehalem	0.4939	0.0642	0.4419
Nehalem	0.7640	0.0169	0.2192
Nehalem	0.1899	0.0531	0.7570
Nehalem	0.5012	0.0457	0.4531
Nehalem	0.4620	0.1667	0.3713
Nehalem	0.5828	0.1021	0.3151
Nehalem	0.3537	0.0456	0.6008
Nehalem	0.6133	0.0194	0.3673
Nehalem	0.6380	0.0087	0.3533
Nehalem	0.2998	0.4122	0.2880
Nehalem	0.4217	0.0849	0.4934
Nehalem	0.6954	0.0143	0.2903
Nehalem	0.3594	0.0330	0.6076
Nehalem	0.4361	0.0447	0.5192
Nehalem	0.6977	0.0449	0.2574
Nehalem	0.5735	0.0618	0.3647
Nehalem	0.5418	0.0406	0.4176
Nehalem	0.6661	0.0390	0.2949
Nehalem	0.1549	0.0506	0.7946
Nehalem	0.6356	0.0107	0.3537
Nehalem	0.2047	0.6078	0.1875
Nehalem	0.2854	0.0309	0.6837
Nehalem	0.7339	0.0409	0.2252
Nehalem	0.5291	0.1900	0.2809
Nehalem	0.5565	0.0433	0.4002
Nehalem	0.3175	0.0297	0.6528
Nehalem	0.4545	0.0868	0.4586
Nehalem	0.6380	0.0280	0.3340
Nehalem	0.5339	0.0303	0.4358
Nehalem	0.6025	0.0234	0.3741
Nehalem	0.4971	0.0393	0.4636
Netarts	0.5346	0.0282	0.4372
Netarts	0.6987	0.0244	0.2768
Netarts	0.5155	0.0344	0.4500
Netarts	0.7122	0.0319	0.2559
Netarts	0.5053	0.0976	0.3971
Netarts	0.5052	0.0287	0.4661
Netarts	0.2279	0.5579	0.2142
Netarts	0.5459	0.0809	0.3733
Netarts	0.3874	0.0296	0.5831
Netarts	0.7807	0.0141	0.2052
Netarts	0.6142	0.0086	0.3772
Netarts	0.6833	0.0144	0.3023
Netarts	0.5776	0.0343	0.3881
Siletz	0.0446	0.9161	0.0393
Siletz	0.5497	0.0286	0.4217
Siletz	0.0343	0.9043	0.0614
Tillamook	0.5567	0.0236	0.4197
Tillamook	0.6662	0.0077	0.3261
Tillamook	0.7018	0.0121	0.2861
Tillamook	0.4871	0.0110	0.5019
Tillamook	0.7510	0.0209	0.2281
Tillamook	0.2377	0.0231	0.7392
Tillamook	0.5831	0.0297	0.3872
Tillamook	0.2664	0.0384	0.6952
Tillamook	0.2327	0.0634	0.7039
Tillamook	0.4948	0.0619	0.4433
Tillamook	0.2650	0.2109	0.5241
Tillamook	0.3358	0.0880	0.5763
Tillamook	0.4554	0.0329	0.5118
Tillamook	0.3175	0.0417	0.6408
Tillamook	0.2764	0.0947	0.6289
Tillamook	0.6408	0.0130	0.3462
Tillamook	0.6432	0.0919	0.2649
Tillamook	0.6486	0.0103	0.3411
Tillamook	0.4602	0.0210	0.5188
Tillamook	0.7181	0.0134	0.2685
Tillamook	0.5361	0.0250	0.4389
Tillamook	0.2692	0.0183	0.7125
Tillamook	0.3568	0.0431	0.6001
Tillamook	0.2669	0.0350	0.6981
Tillamook	0.6933	0.0207	0.2860
Tillamook	0.6108	0.0130	0.3762
Tillamook	0.4504	0.0340	0.5156
Tillamook	0.5771	0.0668	0.3561
Tillamook	0.1279	0.1676	0.7045
Tillamook	0.2525	0.0438	0.7036
Tillamook	0.2688	0.0693	0.6619
Tillamook	0.1823	0.0339	0.7838
Tillamook	0.2048	0.0353	0.7599
Tillamook	0.7718	0.0084	0.2197
Tillamook	0.4136	0.0226	0.5638
Tillamook	0.4671	0.0290	0.5039
Tillamook	0.8481	0.0164	0.1354
Tillamook	0.8498	0.0167	0.1334
Tillamook	0.5093	0.0406	0.4501
Tillamook	0.6425	0.0196	0.3380
Tillamook	0.3648	0.0616	0.5736
Tillamook	0.4994	0.0544	0.4462
Tillamook	0.4871	0.0259	0.4870
Tillamook	0.6721	0.1080	0.2199
Tillamook	0.6643	0.0236	0.3121
Tillamook	0.5743	0.0374	0.3883
Tillamook	0.4051	0.0602	0.5347
Tillamook	0.6232	0.0204	0.3564
Tillamook	0.6215	0.0331	0.3453
Tillamook	0.1880	0.1196	0.6923
Tillamook	0.1169	0.7652	0.1179
Tillamook	0.4225	0.0277	0.5498
Tillamook	0.5036	0.0136	0.4828
Tillamook	0.1871	0.0270	0.7859
Tillamook	0.8429	0.0093	0.1478
Tillamook	0.7840	0.0300	0.1860
Tillamook	0.5122	0.0804	0.4074
Tillamook	0.3477	0.0170	0.6352
Tillamook	0.7322	0.0301	0.2377
Tillamook	0.6863	0.0923	0.2214
Tillamook	0.3890	0.1479	0.4631
Tillamook	0.5506	0.0493	0.4001
Tillamook	0.5417	0.0383	0.4200
Tillamook	0.6654	0.0110	0.3236
Tillamook	0.1061	0.5025	0.3914
Tillamook	0.3719	0.0234	0.6047
Tillamook	0.4194	0.0887	0.4919
Tillamook	0.4950	0.0777	0.4273
Tillamook	0.1740	0.0408	0.7852
Tillamook	0.3919	0.0321	0.5760
Tillamook	0.1917	0.0987	0.7096
Tillamook	0.3932	0.0607	0.5461
Tillamook	0.3614	0.0116	0.6271
Tillamook	0.2128	0.0164	0.7707
Tillamook	0.1965	0.0414	0.7621
Tillamook	0.1820	0.0169	0.8011
Tillamook	0.2537	0.0900	0.6563
Tillamook	0.3402	0.0397	0.6201
Tillamook	0.6372	0.0407	0.3220
Tillamook	0.6280	0.0241	0.3479
Tillamook	0.3470	0.1544	0.4985
Tillamook	0.5328	0.0213	0.4459
Tillamook	0.6061	0.0141	0.3797
Tillamook	0.4652	0.0199	0.5149
Tillamook	0.2593	0.1152	0.6255
Tillamook	0.1476	0.0471	0.8052
Tillamook	0.1484	0.0210	0.8306
Tillamook	0.6714	0.0642	0.2645
Tillamook	0.2104	0.0166	0.7730
Tillamook	0.2014	0.0267	0.7719
Tillamook	0.2512	0.1009	0.6480
Yaquina	0.0344	0.9246	0.0410
Yaquina	0.0110	0.9784	0.0106
Yaquina	0.0324	0.9350	0.0326
Yaquina	0.0652	0.8758	0.0590
Yaquina	0.0304	0.9347	0.0349
Yaquina	0.0111	0.9777	0.0111
Yaquina	0.1007	0.7142	0.1850
Yaquina	0.0060	0.9884	0.0056
Yaquina	0.0791	0.8349	0.0860
