pop	clust1	clust2	clust3	clust4
Coos	0.1067	0.0090	0.5120	0.3723
Coos	0.1141	0.1376	0.4034	0.3449
Coos	0.1160	0.0484	0.4422	0.3934
Yaquina	0.0530	0.7775	0.0901	0.0794
Yaquina	0.2003	0.0154	0.4191	0.3651
Yaquina	0.0450	0.7607	0.0970	0.0973
Yaquina	0.0220	0.9204	0.0273	0.0303
Yaquina	0.0089	0.9719	0.0101	0.0091
Yaquina	0.0460	0.8223	0.0700	0.0617
Yaquina	0.0127	0.9596	0.0141	0.0136
Yaquina	0.0156	0.9434	0.0213	0.0197
Yaquina	0.0537	0.8327	0.0593	0.0543
Yaquina	0.0213	0.9327	0.0236	0.0224
Yaquina	0.0414	0.8886	0.0368	0.0331
Yaquina	0.0986	0.5642	0.1836	0.1536
Yaquina	0.0147	0.9549	0.0150	0.0154
Yaquina	0.0606	0.8149	0.0674	0.0571
Yaquina	0.0276	0.9157	0.0291	0.0276
Yaquina	0.0229	0.9200	0.0287	0.0284
Yaquina	0.1029	0.6618	0.1221	0.1133
Yaquina	0.0327	0.8686	0.0516	0.0471
Yaquina	0.1963	0.2161	0.3168	0.2708
Yaquina	0.0161	0.9049	0.0396	0.0394
Yaquina	0.0107	0.9610	0.0140	0.0143
Yaquina	0.1002	0.5738	0.1660	0.1600
Yaquina	0.0364	0.9159	0.0246	0.0231
Yaquina	0.0394	0.8643	0.0477	0.0486
Yaquina	0.0100	0.9683	0.0111	0.0106
Yaquina	0.0420	0.8861	0.0386	0.0333
Yaquina	0.2701	0.3295	0.1935	0.2068
Yaquina	0.0126	0.9609	0.0139	0.0127
Yaquina	0.0169	0.9211	0.0374	0.0246
Yaquina	0.0417	0.9066	0.0269	0.0249
Yaquina	0.0647	0.7370	0.1056	0.0927
Yaquina	0.0187	0.9048	0.0449	0.0316
Yaquina	0.0170	0.9563	0.0133	0.0134
Yaquina	0.0147	0.9556	0.0156	0.0141
Yaquina	0.0403	0.8707	0.0457	0.0433
Yaquina	0.0201	0.9541	0.0130	0.0127
Yaquina	0.0103	0.9583	0.0157	0.0157
Yaquina	0.2041	0.3710	0.2259	0.1989
Yaquina	0.0171	0.9337	0.0253	0.0239
Yaquina	0.0521	0.8390	0.0571	0.0517
Yaquina	0.0309	0.8526	0.0612	0.0553
Yaquina	0.0603	0.7615	0.1026	0.0756
Yaquina	0.0116	0.9593	0.0151	0.0140
Yaquina	0.2088	0.2723	0.2700	0.2490
Yaquina	0.1226	0.5351	0.2073	0.1350
Yaquina	0.5414	0.1797	0.1399	0.1390
Yaquina	0.0363	0.8630	0.0569	0.0439
Yaquina	0.0126	0.9594	0.0147	0.0133
Yaquina	0.0260	0.9330	0.0211	0.0199
Yaquina	0.1969	0.5474	0.1475	0.1081
Yaquina	0.0104	0.9706	0.0100	0.0090
Yaquina	0.0304	0.9203	0.0254	0.0239
Yaquina	0.0243	0.8919	0.0438	0.0400
Yaquina	0.2310	0.3539	0.2195	0.1955
Yaquina	0.0197	0.9353	0.0226	0.0224
Yaquina	0.0386	0.8963	0.0364	0.0287
Yaquina	0.0141	0.9470	0.0199	0.0190
Yaquina	0.0347	0.8354	0.0657	0.0641
Yaquina	0.0116	0.9637	0.0120	0.0127
Nehalem	0.1115	0.0460	0.4117	0.4308
Nehalem	0.2780	0.0070	0.3178	0.3972
Nehalem	0.2131	0.0123	0.3393	0.4353
Nehalem	0.0867	0.0724	0.4853	0.3556
Nehalem	0.2088	0.0436	0.3907	0.3569
Nehalem	0.4854	0.0177	0.2443	0.2526
Nehalem	0.7714	0.0130	0.0998	0.1158
