pop	clust1	clust2	clust3	clust4	clust5	clust6
Coos	0.1011	0.0050	0.3085	0.3255	0.0213	0.2385
Coos	0.1043	0.0786	0.3158	0.2965	0.0027	0.2021
Coos	0.0932	0.0287	0.3089	0.2826	0.0080	0.2787
Yaquina	0.0361	0.7502	0.0751	0.0626	0.0023	0.0737
Yaquina	0.1266	0.0083	0.3021	0.3190	0.0049	0.2391
Yaquina	0.0380	0.7265	0.0881	0.0667	0.0093	0.0714
Yaquina	0.0131	0.9264	0.0201	0.0184	0.0047	0.0171
Yaquina	0.0047	0.9728	0.0063	0.0059	0.0053	0.0050
Yaquina	0.0369	0.8242	0.0446	0.0547	0.0020	0.0376
Yaquina	0.0070	0.9620	0.0084	0.0097	0.0033	0.0096
Yaquina	0.0104	0.9437	0.0136	0.0120	0.0043	0.0160
Yaquina	0.0106	0.7685	0.0141	0.0181	0.1765	0.0121
Yaquina	0.0127	0.9353	0.0171	0.0139	0.0057	0.0153
Yaquina	0.0284	0.8762	0.0337	0.0274	0.0104	0.0238
Yaquina	0.0754	0.4094	0.1838	0.2118	0.0034	0.1162
Yaquina	0.0100	0.9563	0.0096	0.0101	0.0049	0.0091
Yaquina	0.0509	0.7733	0.0625	0.0697	0.0053	0.0383
Yaquina	0.0163	0.9233	0.0154	0.0166	0.0114	0.0170
Yaquina	0.0103	0.8988	0.0193	0.0204	0.0323	0.0189
Yaquina	0.0617	0.6571	0.0967	0.0907	0.0130	0.0807
Yaquina	0.0267	0.8653	0.0384	0.0401	0.0027	0.0267
Yaquina	0.1644	0.1533	0.2467	0.2176	0.0020	0.2160
Yaquina	0.0126	0.9051	0.0304	0.0264	0.0020	0.0234
Yaquina	0.0061	0.9587	0.0090	0.0094	0.0070	0.0097
Yaquina	0.0565	0.4698	0.1521	0.1906	0.0354	0.0956
Yaquina	0.0164	0.9205	0.0164	0.0216	0.0083	0.0167
Yaquina	0.0199	0.7338	0.0216	0.0310	0.1719	0.0219
Yaquina	0.0066	0.9711	0.0064	0.0060	0.0031	0.0067
Yaquina	0.0259	0.8876	0.0264	0.0287	0.0071	0.0243
Yaquina	0.2800	0.2719	0.1543	0.1726	0.0029	0.1184
Yaquina	0.0073	0.9636	0.0097	0.0101	0.0023	0.0070
Yaquina	0.0146	0.8146	0.0567	0.0800	0.0017	0.0324
Yaquina	0.0183	0.8845	0.0166	0.0173	0.0464	0.0169
Yaquina	0.0554	0.6414	0.0926	0.0856	0.0020	0.1230
Yaquina	0.0171	0.8001	0.0597	0.0864	0.0017	0.0349
Yaquina	0.0093	0.9621	0.0091	0.0077	0.0031	0.0086
Yaquina	0.0083	0.9465	0.0100	0.0097	0.0153	0.0101
Yaquina	0.0344	0.8807	0.0279	0.0320	0.0014	0.0236
Yaquina	0.0130	0.9561	0.0094	0.0091	0.0029	0.0094
Yaquina	0.0077	0.9613	0.0097	0.0101	0.0020	0.0091
Yaquina	0.1652	0.2809	0.1942	0.1826	0.0079	0.1693
Yaquina	0.0137	0.9268	0.0244	0.0186	0.0020	0.0144
Yaquina	0.0414	0.8273	0.0437	0.0400	0.0021	0.0454
Yaquina	0.0249	0.7783	0.0550	0.0552	0.0044	0.0823
Yaquina	0.0568	0.7213	0.0631	0.0746	0.0030	0.0811
Yaquina	0.0063	0.9603	0.0081	0.0116	0.0036	0.0101
Yaquina	0.1312	0.2376	0.1990	0.2189	0.0020	0.2113
Yaquina	0.0761	0.4114	0.1533	0.1864	0.0040	0.1687
Yaquina	0.3774	0.1595	0.1271	0.1468	0.0047	0.1845
Yaquina	0.0304	0.8297	0.0503	0.0419	0.0036	0.0441
Yaquina	0.0074	0.9599	0.0111	0.0090	0.0020	0.0106
Yaquina	0.0140	0.9240	0.0143	0.0139	0.0197	0.0141
Yaquina	0.1461	0.4771	0.1240	0.1327	0.0049	0.1153
Yaquina	0.0063	0.9723	0.0060	0.0053	0.0039	0.0063
Yaquina	0.0166	0.9274	0.0170	0.0157	0.0083	0.0150
Yaquina	0.0154	0.8746	0.0353	0.0413	0.0034	0.0300
Yaquina	0.1353	0.3186	0.1795	0.2166	0.0083	0.1417
Yaquina	0.0129	0.9306	0.0164	0.0143	0.0111	0.0147
Yaquina	0.0261	0.8944	0.0270	0.0233	0.0060	0.0231
Yaquina	0.0103	0.9474	0.0134	0.0146	0.0030	0.0113
Yaquina	0.0251	0.7974	0.0589	0.0577	0.0140	0.0469
Yaquina	0.0077	0.9661	0.0069	0.0074	0.0041	0.0077
Nehalem	0.0920	0.0234	0.3197	0.2330	0.0101	0.3217
Nehalem	0.1684	0.0043	0.2951	0.3499	0.0043	0.1780
Nehalem	0.1910	0.0067	0.2881	0.2788	0.0041	0.2313
Nehalem	0.1139	0.0499	0.2809	0.2867	0.0044	0.2643
Nehalem	0.1812	0.0272	0.2891	0.3033	0.0076	0.1917
Nehalem	0.3764	0.0101	0.2135	0.1995	0.0447	0.1557
Nehalem	0.5971	0.0096	0.0937	0.1123	0.0059	0.1815
Nehalem	0.6724	0.0183	0.0530	0.0934	0.0034	0.1596
Nehalem	0.3400	0.0393	0.2273	0.2142	0.0089	0.1704
Nehalem	0.5152	0.0069	0.1371	0.1303	0.0093	0.2012
Nehalem	0.1298	0.0161	0.3239	0.2751	0.0019	0.2532
Nehalem	0.0752	0.3012	0.2337	0.2183	0.0126	0.1591
Nehalem	0.2786	0.0833	0.2479	0.2143	0.0020	0.1739
Nehalem	0.1151	0.0111	0.3255	0.3250	0.0030	0.2203
Nehalem	0.5794	0.0490	0.1013	0.1196	0.0034	0.1472
Nehalem	0.3695	0.0161	0.2035	0.1890	0.0399	0.1820
Nehalem	0.3293	0.0060	0.1636	0.1711	0.0463	0.2837
Nehalem	0.3354	0.0487	0.2231	0.1887	0.0059	0.1982
Nehalem	0.1108	0.0280	0.3033	0.3549	0.0187	0.1843
Nehalem	0.4775	0.0104	0.1345	0.1704	0.0158	0.1913
Nehalem	0.1437	0.0347	0.2232	0.2283	0.0020	0.3681
Nehalem	0.3047	0.0247	0.2266	0.2514	0.0064	0.1861
Nehalem	0.2013	0.1040	0.2435	0.2681	0.0204	0.1626
Nehalem	0.2904	0.0601	0.1846	0.2090	0.0060	0.2499
Nehalem	0.1263	0.0209	0.2911	0.3083	0.0044	0.2490
Nehalem	0.4769	0.0091	0.1426	0.1870	0.0030	0.1814
Nehalem	0.2798	0.0044	0.2163	0.2467	0.0121	0.2406
Nehalem	0.1248	0.2845	0.2393	0.2000	0.0207	0.1307
Nehalem	0.1477	0.0346	0.2844	0.3177	0.0100	0.2056
Nehalem	0.2183	0.0077	0.2343	0.2843	0.0079	0.2475
Nehalem	0.2185	0.0166	0.2955	0.2452	0.0014	0.2228
Nehalem	0.2261	0.0250	0.2970	0.2213	0.0100	0.2206
Nehalem	0.4200	0.0259	0.1825	0.2129	0.0051	0.1536
Nehalem	0.2618	0.0293	0.2170	0.2809	0.0039	0.2071
Nehalem	0.2153	0.0159	0.2988	0.2717	0.0026	0.1958
Nehalem	0.3259	0.0183	0.2156	0.2499	0.0069	0.1835
Nehalem	0.0963	0.0310	0.3022	0.2538	0.0083	0.3085
Nehalem	0.4087	0.0057	0.1830	0.2013	0.0026	0.1987
Nehalem	0.0896	0.4461	0.1349	0.1489	0.0511	0.1294
Nehalem	0.1059	0.0146	0.3720	0.2759	0.0039	0.2278
Nehalem	0.4016	0.0186	0.1773	0.2236	0.0077	0.1712
Nehalem	0.3363	0.0901	0.2071	0.2001	0.0024	0.1640
Nehalem	0.4718	0.0196	0.1542	0.1666	0.0019	0.1860
Nehalem	0.1375	0.0154	0.3188	0.2807	0.0037	0.2439
Nehalem	0.1481	0.0433	0.3115	0.3113	0.0089	0.1769
Nehalem	0.4323	0.0133	0.1891	0.1849	0.0057	0.1746
Nehalem	0.0010	0.0010	0.0010	0.0010	0.9950	0.0010
Nehalem	0.2318	0.0116	0.2795	0.2855	0.0069	0.1847
Nehalem	0.2457	0.0207	0.2537	0.2258	0.0087	0.2454
Netarts	0.0011	0.0010	0.0010	0.0010	0.9949	0.0010
Netarts	0.4471	0.0117	0.1614	0.2090	0.0089	0.1620
